CDS-chr,CDS-start,CDS-end,CDS-Ensembl_ID,CDS-UCSC_ID,CDS-UCSC_index,CDS-strand,CDS-gene_name,CDS-exon_unique_id,CDS-ORF-frame
chr1,11190585,11190834,ENST00000361445,uc001asd.3,19,-,MTOR,uc001asd.3-19,0.0
chr1,11193136,11193254,ENST00000361445,uc001asd.3,20,-,MTOR,uc001asd.3-20,1.0
chr1,11194407,11194523,ENST00000361445,uc001asd.3,21,-,MTOR,uc001asd.3-21,2.0
chr1,11199360,11199492,ENST00000361445,uc001asd.3,22,-,MTOR,uc001asd.3-22,0.0
chr1,11199589,11199715,ENST00000361445,uc001asd.3,23,-,MTOR,uc001asd.3-23,0.0
chr1,11204704,11204812,ENST00000361445,uc001asd.3,24,-,MTOR,uc001asd.3-24,0.0
chr1,11205024,11205102,ENST00000361445,uc001asd.3,25,-,MTOR,uc001asd.3-25,0.0
chr1,11206732,11206848,ENST00000361445,uc001asd.3,26,-,MTOR,uc001asd.3-26,2.0
chr1,11210182,11210283,ENST00000361445,uc001asd.3,27,-,MTOR,uc001asd.3-27,2.0
chr1,11217208,11217348,ENST00000361445,uc001asd.3,28,-,MTOR,uc001asd.3-28,2.0
chr1,11227498,11227574,ENST00000361445,uc001asd.3,29,-,MTOR,uc001asd.3-29,1.0
chr1,11259314,11259460,ENST00000361445,uc001asd.3,30,-,MTOR,uc001asd.3-30,2.0
chr1,11259597,11259760,ENST00000361445,uc001asd.3,31,-,MTOR,uc001asd.3-31,1.0
chr1,11264617,11264760,ENST00000361445,uc001asd.3,32,-,MTOR,uc001asd.3-32,2.0
chr1,11269368,11269515,ENST00000361445,uc001asd.3,33,-,MTOR,uc001asd.3-33,0.0
chr1,11270870,11270963,ENST00000361445,uc001asd.3,34,-,MTOR,uc001asd.3-34,0.0
chr1,11272368,11272531,ENST00000361445,uc001asd.3,35,-,MTOR,uc001asd.3-35,1.0
chr1,11272852,11272965,ENST00000361445,uc001asd.3,36,-,MTOR,uc001asd.3-36,2.0
chr1,11273455,11273623,ENST00000361445,uc001asd.3,37,-,MTOR,uc001asd.3-37,0.0
chr1,11276204,11276291,ENST00000361445,uc001asd.3,38,-,MTOR,uc001asd.3-38,0.0
chr1,11288724,11288975,ENST00000361445,uc001asd.3,39,-,MTOR,uc001asd.3-39,2.0
chr1,11290981,11291111,ENST00000361445,uc001asd.3,40,-,MTOR,uc001asd.3-40,1.0
chr1,11291356,11291491,ENST00000361445,uc001asd.3,41,-,MTOR,uc001asd.3-41,0.0
chr1,11292492,11292585,ENST00000361445,uc001asd.3,42,-,MTOR,uc001asd.3-42,0.0
chr1,11293454,11293544,ENST00000361445,uc001asd.3,43,-,MTOR,uc001asd.3-43,0.0
chr1,11294199,11294322,ENST00000361445,uc001asd.3,44,-,MTOR,uc001asd.3-44,0.0
chr1,11297899,11298105,ENST00000361445,uc001asd.3,45,-,MTOR,uc001asd.3-45,2.0
chr1,11298458,11298674,ENST00000361445,uc001asd.3,46,-,MTOR,uc001asd.3-46,0.0
chr1,11300359,11300604,ENST00000361445,uc001asd.3,47,-,MTOR,uc001asd.3-47,2.0
chr1,11301609,11301738,ENST00000361445,uc001asd.3,48,-,MTOR,uc001asd.3-48,0.0
chr1,11303170,11303357,ENST00000361445,uc001asd.3,49,-,MTOR,uc001asd.3-49,1.0
chr1,11307681,11307790,ENST00000361445,uc001asd.3,50,-,MTOR,uc001asd.3-50,1.0
chr1,11307875,11308151,ENST00000361445,uc001asd.3,51,-,MTOR,uc001asd.3-51,0.0
chr1,11313895,11314030,ENST00000361445,uc001asd.3,52,-,MTOR,uc001asd.3-52,0.0
chr1,11316048,11316249,ENST00000361445,uc001asd.3,53,-,MTOR,uc001asd.3-53,0.0
chr1,11316989,11317222,ENST00000361445,uc001asd.3,54,-,MTOR,uc001asd.3-54,2.0
chr1,11318541,11318650,ENST00000361445,uc001asd.3,55,-,MTOR,uc001asd.3-55,1.0
chr1,11319304,11319466,ENST00000361445,uc001asd.3,56,-,MTOR,uc001asd.3-56,0.0
chr1,11734831,11734873,ENST00000235310,uc009vnc.3,0,-,MAD2L2,uc009vnc.3-0,0.0
chr1,11735138,11735231,ENST00000235310,uc009vnc.3,1,-,MAD2L2,uc009vnc.3-1,0.0
chr1,11735714,11735788,ENST00000235310,uc009vnc.3,2,-,MAD2L2,uc009vnc.3-2,2.0
chr1,11736102,11736197,ENST00000235310,uc009vnc.3,3,-,MAD2L2,uc009vnc.3-3,2.0
chr1,11736904,11737005,ENST00000235310,uc009vnc.3,4,-,MAD2L2,uc009vnc.3-4,2.0
chr1,11737599,11737671,ENST00000235310,uc009vnc.3,5,-,MAD2L2,uc009vnc.3-5,0.0
chr1,11740409,11740528,ENST00000235310,uc009vnc.3,6,-,MAD2L2,uc009vnc.3-6,2.0
chr1,11740618,11740658,ENST00000235310,uc009vnc.3,7,-,MAD2L2,uc009vnc.3-7,1.0
chr1,16174562,16174645,ENST00000375759,uc001axk.1,0,+,SPEN,uc001axk.1-0,2.0
chr1,16199310,16199631,ENST00000375759,uc001axk.1,1,+,SPEN,uc001axk.1-1,0.0
chr1,16202696,16203173,ENST00000375759,uc001axk.1,2,+,SPEN,uc001axk.1-2,0.0
chr1,16235815,16235976,ENST00000375759,uc001axk.1,3,+,SPEN,uc001axk.1-3,2.0
chr1,16237595,16237796,ENST00000375759,uc001axk.1,4,+,SPEN,uc001axk.1-4,0.0
chr1,16242622,16242774,ENST00000375759,uc001axk.1,5,+,SPEN,uc001axk.1-5,2.0
chr1,16245420,16245546,ENST00000375759,uc001axk.1,6,+,SPEN,uc001axk.1-6,0.0
chr1,16245898,16246012,ENST00000375759,uc001axk.1,7,+,SPEN,uc001axk.1-7,0.0
chr1,16247364,16247478,ENST00000375759,uc001axk.1,8,+,SPEN,uc001axk.1-8,0.0
chr1,16248743,16248844,ENST00000375759,uc001axk.1,9,+,SPEN,uc001axk.1-9,2.0
chr1,16254585,16262761,ENST00000375759,uc001axk.1,10,+,SPEN,uc001axk.1-10,1.0
chr1,16263657,16264140,ENST00000375759,uc001axk.1,11,+,SPEN,uc001axk.1-11,0.0
chr1,16264306,16264501,ENST00000375759,uc001axk.1,12,+,SPEN,uc001axk.1-12,0.0
chr1,16265212,16265371,ENST00000375759,uc001axk.1,13,+,SPEN,uc001axk.1-13,0.0
chr1,16265790,16265922,ENST00000375759,uc001axk.1,14,+,SPEN,uc001axk.1-14,0.0
chr1,16451709,16451815,ENST00000358432,uc001aya.2,0,-,EPHA2,uc001aya.2-0,1.0
chr1,16455928,16456084,ENST00000358432,uc001aya.2,1,-,EPHA2,uc001aya.2-1,0.0
chr1,16456720,16456914,ENST00000358432,uc001aya.2,2,-,EPHA2,uc001aya.2-2,2.0
chr1,16458215,16458365,ENST00000358432,uc001aya.2,3,-,EPHA2,uc001aya.2-3,0.0
chr1,16458558,16458768,ENST00000358432,uc001aya.2,4,-,EPHA2,uc001aya.2-4,0.0
chr1,16458872,16458934,ENST00000358432,uc001aya.2,5,-,EPHA2,uc001aya.2-5,2.0
chr1,16459674,16459863,ENST00000358432,uc001aya.2,6,-,EPHA2,uc001aya.2-6,0.0
chr1,16459975,16460101,ENST00000358432,uc001aya.2,7,-,EPHA2,uc001aya.2-7,0.0
chr1,16460354,16460410,ENST00000358432,uc001aya.2,8,-,EPHA2,uc001aya.2-8,2.0
chr1,16460962,16461062,ENST00000358432,uc001aya.2,9,-,EPHA2,uc001aya.2-9,1.0
chr1,16461530,16461684,ENST00000358432,uc001aya.2,10,-,EPHA2,uc001aya.2-10,1.0
chr1,16462149,16462265,ENST00000358432,uc001aya.2,11,-,EPHA2,uc001aya.2-11,2.0
chr1,16464347,16464680,ENST00000358432,uc001aya.2,12,-,EPHA2,uc001aya.2-12,0.0
chr1,16464769,16464925,ENST00000358432,uc001aya.2,13,-,EPHA2,uc001aya.2-13,0.0
chr1,16474872,16475542,ENST00000358432,uc001aya.2,14,-,EPHA2,uc001aya.2-14,1.0
chr1,16477390,16477458,ENST00000358432,uc001aya.2,15,-,EPHA2,uc001aya.2-15,2.0
chr1,16482342,16482427,ENST00000358432,uc001aya.2,16,-,EPHA2,uc001aya.2-16,1.0
chr1,22404971,22405076,ENST00000400259,uc001bfr.3,1,+,CDC42,uc001bfr.3-1,0.0
chr1,22408214,22408287,ENST00000400259,uc001bfr.3,2,+,CDC42,uc001bfr.3-2,1.0
chr1,22412931,22413041,ENST00000400259,uc001bfr.3,3,+,CDC42,uc001bfr.3-3,2.0
chr1,22413161,22413359,ENST00000400259,uc001bfr.3,4,+,CDC42,uc001bfr.3-4,0.0
chr1,22417920,22418010,ENST00000400259,uc001bfr.3,5,+,CDC42,uc001bfr.3-5,0.0
chr1,27022894,27024031,ENST00000324856,uc001bmv.1,0,+,ARID1A,uc001bmv.1-0,0.0
chr1,27056141,27056354,ENST00000324856,uc001bmv.1,1,+,ARID1A,uc001bmv.1-1,0.0
chr1,27057642,27058095,ENST00000324856,uc001bmv.1,2,+,ARID1A,uc001bmv.1-2,0.0
chr1,27059166,27059283,ENST00000324856,uc001bmv.1,3,+,ARID1A,uc001bmv.1-3,0.0
chr1,27087346,27087587,ENST00000324856,uc001bmv.1,4,+,ARID1A,uc001bmv.1-4,1.0
chr1,27087874,27087964,ENST00000324856,uc001bmv.1,5,+,ARID1A,uc001bmv.1-5,0.0
chr1,27088642,27088810,ENST00000324856,uc001bmv.1,6,+,ARID1A,uc001bmv.1-6,0.0
chr1,27089463,27089776,ENST00000324856,uc001bmv.1,7,+,ARID1A,uc001bmv.1-7,1.0
chr1,27092711,27092857,ENST00000324856,uc001bmv.1,8,+,ARID1A,uc001bmv.1-8,2.0
chr1,27092947,27093057,ENST00000324856,uc001bmv.1,9,+,ARID1A,uc001bmv.1-9,2.0
chr1,27094280,27094490,ENST00000324856,uc001bmv.1,10,+,ARID1A,uc001bmv.1-10,0.0
chr1,27097609,27097817,ENST00000324856,uc001bmv.1,11,+,ARID1A,uc001bmv.1-11,1.0
chr1,27098990,27099123,ENST00000324856,uc001bmv.1,12,+,ARID1A,uc001bmv.1-12,1.0
chr1,27099302,27099478,ENST00000324856,uc001bmv.1,13,+,ARID1A,uc001bmv.1-13,2.0
chr1,27099836,27099987,ENST00000324856,uc001bmv.1,14,+,ARID1A,uc001bmv.1-14,1.0
chr1,27100070,27100208,ENST00000324856,uc001bmv.1,15,+,ARID1A,uc001bmv.1-15,0.0
chr1,27100292,27100389,ENST00000324856,uc001bmv.1,16,+,ARID1A,uc001bmv.1-16,1.0
chr1,27100819,27101711,ENST00000324856,uc001bmv.1,17,+,ARID1A,uc001bmv.1-17,1.0
chr1,27102067,27102198,ENST00000324856,uc001bmv.1,18,+,ARID1A,uc001bmv.1-18,2.0
chr1,27105513,27107247,ENST00000324856,uc001bmv.1,19,+,ARID1A,uc001bmv.1-19,0.0
chr1,39549890,39550110,ENST00000567887,uc031pmc.1,0,+,MACF1,uc031pmc.1-0,1.0
chr1,39696853,39696915,ENST00000567887,uc031pmc.1,1,+,MACF1,uc031pmc.1-1,2.0
chr1,39715685,39715775,ENST00000567887,uc031pmc.1,2,+,MACF1,uc031pmc.1-2,0.0
chr1,39719969,39720047,ENST00000567887,uc031pmc.1,3,+,MACF1,uc031pmc.1-3,0.0
chr1,39723607,39723700,ENST00000567887,uc031pmc.1,4,+,MACF1,uc031pmc.1-4,0.0
chr1,39747879,39748046,ENST00000567887,uc031pmc.1,5,+,MACF1,uc031pmc.1-5,2.0
chr1,39748860,39748973,ENST00000567887,uc031pmc.1,6,+,MACF1,uc031pmc.1-6,2.0
chr1,39749080,39749187,ENST00000567887,uc031pmc.1,7,+,MACF1,uc031pmc.1-7,2.0
chr1,39749737,39749857,ENST00000567887,uc031pmc.1,8,+,MACF1,uc031pmc.1-8,0.0
chr1,39750004,39750100,ENST00000567887,uc031pmc.1,9,+,MACF1,uc031pmc.1-9,0.0
chr1,39750754,39750882,ENST00000567887,uc031pmc.1,10,+,MACF1,uc031pmc.1-10,2.0
chr1,39750968,39751062,ENST00000567887,uc031pmc.1,11,+,MACF1,uc031pmc.1-11,1.0
chr1,39751275,39751430,ENST00000567887,uc031pmc.1,12,+,MACF1,uc031pmc.1-12,2.0
chr1,39752957,39753234,ENST00000567887,uc031pmc.1,13,+,MACF1,uc031pmc.1-13,1.0
chr1,39757581,39757710,ENST00000567887,uc031pmc.1,14,+,MACF1,uc031pmc.1-14,0.0
chr1,39758437,39758515,ENST00000567887,uc031pmc.1,15,+,MACF1,uc031pmc.1-15,0.0
chr1,39759129,39759291,ENST00000567887,uc031pmc.1,16,+,MACF1,uc031pmc.1-16,0.0
chr1,39760717,39760822,ENST00000567887,uc031pmc.1,17,+,MACF1,uc031pmc.1-17,0.0
chr1,39761458,39761554,ENST00000567887,uc031pmc.1,18,+,MACF1,uc031pmc.1-18,0.0
chr1,39763291,39763417,ENST00000567887,uc031pmc.1,19,+,MACF1,uc031pmc.1-19,0.0
chr1,39765881,39766034,ENST00000567887,uc031pmc.1,20,+,MACF1,uc031pmc.1-20,0.0
chr1,39768595,39768750,ENST00000567887,uc031pmc.1,21,+,MACF1,uc031pmc.1-21,2.0
chr1,39775241,39775368,ENST00000567887,uc031pmc.1,22,+,MACF1,uc031pmc.1-22,1.0
chr1,39775916,39776100,ENST00000567887,uc031pmc.1,23,+,MACF1,uc031pmc.1-23,1.0
chr1,39776502,39776672,ENST00000567887,uc031pmc.1,24,+,MACF1,uc031pmc.1-24,2.0
chr1,39781184,39781363,ENST00000567887,uc031pmc.1,25,+,MACF1,uc031pmc.1-25,2.0
chr1,39782062,39782201,ENST00000567887,uc031pmc.1,26,+,MACF1,uc031pmc.1-26,1.0
chr1,39782885,39783079,ENST00000567887,uc031pmc.1,27,+,MACF1,uc031pmc.1-27,2.0
chr1,39784124,39784287,ENST00000567887,uc031pmc.1,28,+,MACF1,uc031pmc.1-28,1.0
chr1,39785335,39785419,ENST00000567887,uc031pmc.1,29,+,MACF1,uc031pmc.1-29,0.0
chr1,39788279,39788387,ENST00000567887,uc031pmc.1,30,+,MACF1,uc031pmc.1-30,0.0
chr1,39788581,39788680,ENST00000567887,uc031pmc.1,31,+,MACF1,uc031pmc.1-31,0.0
chr1,39789864,39790017,ENST00000567887,uc031pmc.1,32,+,MACF1,uc031pmc.1-32,0.0
chr1,39790317,39790406,ENST00000567887,uc031pmc.1,33,+,MACF1,uc031pmc.1-33,2.0
chr1,39792889,39793025,ENST00000567887,uc031pmc.1,34,+,MACF1,uc031pmc.1-34,1.0
chr1,39815149,39815299,ENST00000567887,uc031pmc.1,35,+,MACF1,uc031pmc.1-35,0.0
chr1,39816456,39816690,ENST00000567887,uc031pmc.1,36,+,MACF1,uc031pmc.1-36,0.0
chr1,39818678,39818903,ENST00000567887,uc031pmc.1,37,+,MACF1,uc031pmc.1-37,0.0
chr1,39823046,39823565,ENST00000567887,uc031pmc.1,38,+,MACF1,uc031pmc.1-38,0.0
chr1,39824368,39824545,ENST00000567887,uc031pmc.1,39,+,MACF1,uc031pmc.1-39,0.0
chr1,39824812,39824936,ENST00000567887,uc031pmc.1,40,+,MACF1,uc031pmc.1-40,1.0
chr1,39826464,39826673,ENST00000567887,uc031pmc.1,41,+,MACF1,uc031pmc.1-41,2.0
chr1,39827031,39827349,ENST00000567887,uc031pmc.1,42,+,MACF1,uc031pmc.1-42,0.0
chr1,39833819,39833986,ENST00000567887,uc031pmc.1,43,+,MACF1,uc031pmc.1-43,2.0
chr1,39835701,39835858,ENST00000567887,uc031pmc.1,44,+,MACF1,uc031pmc.1-44,1.0
chr1,39838150,39838268,ENST00000567887,uc031pmc.1,45,+,MACF1,uc031pmc.1-45,1.0
chr1,39844132,39844195,ENST00000567887,uc031pmc.1,46,+,MACF1,uc031pmc.1-46,0.0
chr1,39844874,39845116,ENST00000567887,uc031pmc.1,47,+,MACF1,uc031pmc.1-47,2.0
chr1,39845915,39846045,ENST00000567887,uc031pmc.1,48,+,MACF1,uc031pmc.1-48,1.0
chr1,39847624,39847824,ENST00000567887,uc031pmc.1,49,+,MACF1,uc031pmc.1-49,2.0
chr1,39851105,39851601,ENST00000567887,uc031pmc.1,50,+,MACF1,uc031pmc.1-50,1.0
chr1,39852858,39854330,ENST00000567887,uc031pmc.1,51,+,MACF1,uc031pmc.1-51,2.0
chr1,39888045,39888207,ENST00000567887,uc031pmc.1,52,+,MACF1,uc031pmc.1-52,0.0
chr1,39888401,39888572,ENST00000567887,uc031pmc.1,53,+,MACF1,uc031pmc.1-53,0.0
chr1,39889699,39889866,ENST00000567887,uc031pmc.1,54,+,MACF1,uc031pmc.1-54,2.0
chr1,39893126,39893286,ENST00000567887,uc031pmc.1,55,+,MACF1,uc031pmc.1-55,1.0
chr1,39893632,39893959,ENST00000567887,uc031pmc.1,56,+,MACF1,uc031pmc.1-56,0.0
chr1,39894913,39894998,ENST00000567887,uc031pmc.1,57,+,MACF1,uc031pmc.1-57,1.0
chr1,39895498,39895740,ENST00000567887,uc031pmc.1,58,+,MACF1,uc031pmc.1-58,2.0
chr1,39896373,39896580,ENST00000567887,uc031pmc.1,59,+,MACF1,uc031pmc.1-59,0.0
chr1,39898206,39898326,ENST00000567887,uc031pmc.1,60,+,MACF1,uc031pmc.1-60,0.0
chr1,39898719,39898827,ENST00000567887,uc031pmc.1,61,+,MACF1,uc031pmc.1-61,0.0
chr1,39900085,39900304,ENST00000567887,uc031pmc.1,62,+,MACF1,uc031pmc.1-62,0.0
chr1,39901229,39901433,ENST00000567887,uc031pmc.1,63,+,MACF1,uc031pmc.1-63,0.0
chr1,39903448,39903680,ENST00000567887,uc031pmc.1,64,+,MACF1,uc031pmc.1-64,1.0
chr1,39904945,39905172,ENST00000567887,uc031pmc.1,65,+,MACF1,uc031pmc.1-65,2.0
chr1,39906674,39906797,ENST00000567887,uc031pmc.1,66,+,MACF1,uc031pmc.1-66,0.0
chr1,39906895,39906997,ENST00000567887,uc031pmc.1,67,+,MACF1,uc031pmc.1-67,0.0
chr1,39907623,39907725,ENST00000567887,uc031pmc.1,68,+,MACF1,uc031pmc.1-68,0.0
chr1,39907818,39907992,ENST00000567887,uc031pmc.1,69,+,MACF1,uc031pmc.1-69,0.0
chr1,39908083,39908239,ENST00000567887,uc031pmc.1,70,+,MACF1,uc031pmc.1-70,0.0
chr1,39908385,39908583,ENST00000567887,uc031pmc.1,71,+,MACF1,uc031pmc.1-71,0.0
chr1,39909117,39909246,ENST00000567887,uc031pmc.1,72,+,MACF1,uc031pmc.1-72,0.0
chr1,39910333,39910507,ENST00000567887,uc031pmc.1,73,+,MACF1,uc031pmc.1-73,0.0
chr1,39913103,39913259,ENST00000567887,uc031pmc.1,74,+,MACF1,uc031pmc.1-74,0.0
chr1,39913363,39913570,ENST00000567887,uc031pmc.1,75,+,MACF1,uc031pmc.1-75,0.0
chr1,39913704,39913824,ENST00000567887,uc031pmc.1,76,+,MACF1,uc031pmc.1-76,0.0
chr1,39914265,39914435,ENST00000567887,uc031pmc.1,77,+,MACF1,uc031pmc.1-77,2.0
chr1,39916723,39916883,ENST00000567887,uc031pmc.1,78,+,MACF1,uc031pmc.1-78,1.0
chr1,39917827,39918022,ENST00000567887,uc031pmc.1,79,+,MACF1,uc031pmc.1-79,0.0
chr1,39918355,39918484,ENST00000567887,uc031pmc.1,80,+,MACF1,uc031pmc.1-80,0.0
chr1,39919378,39919522,ENST00000567887,uc031pmc.1,81,+,MACF1,uc031pmc.1-81,0.0
chr1,39920580,39920769,ENST00000567887,uc031pmc.1,82,+,MACF1,uc031pmc.1-82,0.0
chr1,39924041,39924162,ENST00000567887,uc031pmc.1,83,+,MACF1,uc031pmc.1-83,1.0
chr1,39924757,39924921,ENST00000567887,uc031pmc.1,84,+,MACF1,uc031pmc.1-84,2.0
chr1,39926303,39926466,ENST00000567887,uc031pmc.1,85,+,MACF1,uc031pmc.1-85,1.0
chr1,39927554,39927709,ENST00000567887,uc031pmc.1,86,+,MACF1,uc031pmc.1-86,2.0
chr1,39929283,39929358,ENST00000567887,uc031pmc.1,87,+,MACF1,uc031pmc.1-87,0.0
chr1,39934286,39934404,ENST00000567887,uc031pmc.1,88,+,MACF1,uc031pmc.1-88,1.0
chr1,39945469,39945681,ENST00000567887,uc031pmc.1,89,+,MACF1,uc031pmc.1-89,2.0
chr1,39950272,39950402,ENST00000567887,uc031pmc.1,90,+,MACF1,uc031pmc.1-90,1.0
chr1,39951209,39951466,ENST00000567887,uc031pmc.1,91,+,MACF1,uc031pmc.1-91,2.0
chr1,46509344,46509543,ENST00000262741,uc001cpb.4,0,-,PIK3R3,uc001cpb.4-0,1.0
chr1,46511589,46511760,ENST00000262741,uc001cpb.4,1,-,PIK3R3,uc001cpb.4-1,0.0
chr1,46512222,46512297,ENST00000262741,uc001cpb.4,2,-,PIK3R3,uc001cpb.4-2,0.0
chr1,46521466,46521643,ENST00000262741,uc001cpb.4,3,-,PIK3R3,uc001cpb.4-3,0.0
chr1,46527600,46527743,ENST00000262741,uc001cpb.4,4,-,PIK3R3,uc001cpb.4-4,2.0
chr1,46531725,46531851,ENST00000262741,uc001cpb.4,5,-,PIK3R3,uc001cpb.4-5,0.0
chr1,46532582,46532763,ENST00000262741,uc001cpb.4,6,-,PIK3R3,uc001cpb.4-6,1.0
chr1,46543186,46543285,ENST00000262741,uc001cpb.4,7,-,PIK3R3,uc001cpb.4-7,0.0
chr1,46546313,46546422,ENST00000262741,uc001cpb.4,8,-,PIK3R3,uc001cpb.4-8,1.0
chr1,46597518,46597624,ENST00000262741,uc001cpb.4,9,-,PIK3R3,uc001cpb.4-9,1.0
chr1,91726846,91726916,ENST00000370425,uc001doa.4,0,-,HFM1,uc001doa.4-0,1.0
chr1,91727797,91727949,ENST00000370425,uc001doa.4,1,-,HFM1,uc001doa.4-1,2.0
chr1,91728037,91728149,ENST00000370425,uc001doa.4,2,-,HFM1,uc001doa.4-2,1.0
chr1,91731573,91731664,ENST00000370425,uc001doa.4,3,-,HFM1,uc001doa.4-3,1.0
chr1,91733301,91733412,ENST00000370425,uc001doa.4,4,-,HFM1,uc001doa.4-4,0.0
chr1,91739268,91739372,ENST00000370425,uc001doa.4,5,-,HFM1,uc001doa.4-5,2.0
chr1,91740286,91740366,ENST00000370425,uc001doa.4,6,-,HFM1,uc001doa.4-6,2.0
chr1,91742184,91742300,ENST00000370425,uc001doa.4,7,-,HFM1,uc001doa.4-7,2.0
chr1,91742538,91742619,ENST00000370425,uc001doa.4,8,-,HFM1,uc001doa.4-8,0.0
chr1,91778905,91779052,ENST00000370425,uc001doa.4,9,-,HFM1,uc001doa.4-9,0.0
chr1,91779513,91779617,ENST00000370425,uc001doa.4,10,-,HFM1,uc001doa.4-10,2.0
chr1,91781371,91781529,ENST00000370425,uc001doa.4,11,-,HFM1,uc001doa.4-11,2.0
chr1,91781657,91781741,ENST00000370425,uc001doa.4,12,-,HFM1,uc001doa.4-12,0.0
chr1,91781947,91782033,ENST00000370425,uc001doa.4,13,-,HFM1,uc001doa.4-13,2.0
chr1,91784634,91784766,ENST00000370425,uc001doa.4,14,-,HFM1,uc001doa.4-14,0.0
chr1,91784849,91784947,ENST00000370425,uc001doa.4,15,-,HFM1,uc001doa.4-15,2.0
chr1,91788506,91788554,ENST00000370425,uc001doa.4,16,-,HFM1,uc001doa.4-16,0.0
chr1,91788649,91788756,ENST00000370425,uc001doa.4,17,-,HFM1,uc001doa.4-17,2.0
chr1,91790231,91790323,ENST00000370425,uc001doa.4,18,-,HFM1,uc001doa.4-18,2.0
chr1,91808986,91809067,ENST00000370425,uc001doa.4,19,-,HFM1,uc001doa.4-19,0.0
chr1,91812985,91813033,ENST00000370425,uc001doa.4,20,-,HFM1,uc001doa.4-20,0.0
chr1,91816294,91816428,ENST00000370425,uc001doa.4,21,-,HFM1,uc001doa.4-21,2.0
chr1,91817105,91817200,ENST00000370425,uc001doa.4,22,-,HFM1,uc001doa.4-22,2.0
chr1,91818062,91818208,ENST00000370425,uc001doa.4,23,-,HFM1,uc001doa.4-23,2.0
chr1,91818607,91818709,ENST00000370425,uc001doa.4,24,-,HFM1,uc001doa.4-24,0.0
chr1,91818812,91818856,ENST00000370425,uc001doa.4,25,-,HFM1,uc001doa.4-25,2.0
chr1,91840914,91841003,ENST00000370425,uc001doa.4,26,-,HFM1,uc001doa.4-26,2.0
chr1,91841083,91841284,ENST00000370425,uc001doa.4,27,-,HFM1,uc001doa.4-27,0.0
chr1,91843581,91843740,ENST00000370425,uc001doa.4,28,-,HFM1,uc001doa.4-28,0.0
chr1,91843959,91844037,ENST00000370425,uc001doa.4,29,-,HFM1,uc001doa.4-29,0.0
chr1,91844619,91844771,ENST00000370425,uc001doa.4,30,-,HFM1,uc001doa.4-30,2.0
chr1,91845660,91845793,ENST00000370425,uc001doa.4,31,-,HFM1,uc001doa.4-31,1.0
chr1,91846468,91846539,ENST00000370425,uc001doa.4,32,-,HFM1,uc001doa.4-32,2.0
chr1,91850743,91850791,ENST00000370425,uc001doa.4,33,-,HFM1,uc001doa.4-33,0.0
chr1,91851131,91851391,ENST00000370425,uc001doa.4,34,-,HFM1,uc001doa.4-34,2.0
chr1,91859649,91859959,ENST00000370425,uc001doa.4,35,-,HFM1,uc001doa.4-35,1.0
